iso_code,continent,population,location,median_age,classification,Overall_score,group,first_case,duration,status
ABW,North America,106459.0,Aruba,41.2,HIGH-INCOME,5.81,Hybrid regime,2020-03-22,148,True
AFG,Asia,41128772.0,Afghanistan,18.6,LOW-INCOME,0.26,Authoritarian,2020-03-01,1541,False
AGO,Africa,35588996.0,Angola,16.8,LOWER-MIDDLE INCOME,4.18,Hybrid regime,2020-04-05,1506,False
AIA,North America,15877.0,Anguilla,37.2,LOWER-MIDDLE INCOME,9.81,Full democracy,2020-03-29,393,True
ALB,Europe,2842318.0,Albania,38.0,UPPER-MIDDLE-INCOME,6.28,Flawed democracy,2020-03-15,267,True
AND,Europe,79843.0,Andorra,42.9,HIGH-INCOME,7.06,Flawed democracy,2020-03-08,22,True
ARE,Asia,9441138.0,United Arab Emirates,34.0,HIGH-INCOME,3.01,Authoritarian,2020-02-02,351,True
ARG,South America,45510324.0,Argentina,31.9,UPPER-MIDDLE-INCOME,6.62,Flawed democracy,2020-01-02,270,True
ARM,Asia,2780472.0,Armenia,35.7,UPPER-MIDDLE-INCOME,5.42,Hybrid regime,2020-03-08,225,True
ASM,Oceania,44295.0,American Samoa,29.7,HIGH-INCOME,3.65,Authoritarian,2021-09-19,169,True
ATG,North America,93772.0,Antigua and Barbuda,32.1,HIGH-INCOME,8.09,Full democracy,2020-03-15,344,True
AUS,Oceania,26177410.0,Australia,37.9,HIGH-INCOME,8.66,Full democracy,2020-01-26,701,True
AUT,Europe,8939617.0,Austria,44.4,HIGH-INCOME,8.28,Full democracy,2020-03-01,246,True
AZE,Asia,10358078.0,Azerbaijan,32.4,UPPER-MIDDLE-INCOME,2.8,Authoritarian,2020-03-01,274,True
BDI,Africa,12889583.0,Burundi,17.5,LOW-INCOME,2.13,Authoritarian,2020-04-05,1506,False
BEL,Europe,11655923.0,Belgium,41.8,HIGH-INCOME,7.64,Flawed democracy,2020-02-09,246,True
BEN,Africa,13352864.0,Benin,18.8,LOWER-MIDDLE INCOME,4.68,Hybrid regime,2020-03-22,1520,False
BES,North America,27052.0,Bonaire Sint Eustatius and Saba,39.6,HIGH-INCOME,7.18,Flawed democracy,2020-04-05,176,True
BFA,Africa,22673764.0,Burkina Faso,17.6,LOW-INCOME,2.73,Authoritarian,2020-03-15,1527,False
BGD,Asia,171186368.0,Bangladesh,27.5,LOWER-MIDDLE INCOME,5.87,Hybrid regime,2020-01-05,1615,False
BGR,Europe,6781955.0,Bulgaria,44.7,UPPER-MIDDLE-INCOME,6.41,Flawed democracy,2020-03-08,239,True
BHR,Asia,1472237.0,Bahrain,32.4,HIGH-INCOME,2.52,Authoritarian,2020-03-01,99,True
BHS,North America,409989.0,Bahamas,34.3,HIGH-INCOME,6.62,Flawed democracy,2020-03-22,218,True
BIH,Europe,3233530.0,Bosnia and Herzegovina,42.5,UPPER-MIDDLE-INCOME,5.0,Hybrid regime,2020-03-08,232,True
BLM,North America,10994.0,Saint Barthelemy,39.1,LOW-INCOME,7.38,Flawed democracy,2020-03-08,204,True
BLR,Europe,9534956.0,Belarus,40.3,UPPER-MIDDLE-INCOME,1.99,Authoritarian,2020-03-01,708,True
BLZ,North America,405285.0,Belize,25.0,UPPER-MIDDLE-INCOME,8.81,Full democracy,2020-03-29,253,True
BMU,North America,64207.0,Bermuda,45.3,HIGH-INCOME,4.2,Hybrid regime,2020-03-22,274,True
BOL,South America,12224114.0,Bolivia,25.4,LOWER-MIDDLE INCOME,4.2,Hybrid regime,2020-03-15,659,True
BRA,South America,215313504.0,Brazil,33.5,UPPER-MIDDLE-INCOME,6.68,Flawed democracy,2020-01-05,379,True
BRB,North America,281646.0,Barbados,39.8,HIGH-INCOME,7.69,Flawed democracy,2020-03-22,337,True
BRN,Asia,449002.0,Brunei,32.4,HIGH-INCOME,6.17,Flawed democracy,2020-03-15,526,True
BTN,Asia,782457.0,Bhutan,28.6,LOWER-MIDDLE INCOME,5.54,Hybrid regime,2020-01-05,764,True
BWA,Africa,2630300.0,Botswana,25.8,UPPER-MIDDLE-INCOME,7.73,Flawed democracy,2020-04-05,330,True
CAF,Africa,5579148.0,Central African Republic,18.3,LOW-INCOME,1.18,Authoritarian,2020-03-15,1527,False
CAN,North America,38454328.0,Canada,41.4,HIGH-INCOME,8.69,Full democracy,2020-01-26,701,True
CHE,Europe,8740471.0,Switzerland,43.1,HIGH-INCOME,9.14,Full democracy,2020-03-01,232,True
CHL,South America,19603736.0,Chile,35.4,HIGH-INCOME,7.98,Flawed democracy,2020-03-01,106,True
CHN,Asia,1425887360.0,China,38.7,UPPER-MIDDLE-INCOME,2.12,Authoritarian,2020-01-05,1079,True
CIV,Africa,28160548.0,Cote d'Ivoire,18.7,LOWER-MIDDLE INCOME,4.22,Hybrid regime,2020-03-15,1527,False
CMR,Africa,27914542.0,Cameroon,18.8,LOWER-MIDDLE INCOME,2.56,Authoritarian,2020-03-08,1534,False
COD,Africa,99010216.0,Democratic Republic of Congo,17.0,LOW-INCOME,1.68,Authoritarian,2020-03-15,1527,False
COG,Africa,5970430.0,Congo,19.0,LOWER-MIDDLE INCOME,2.79,Authoritarian,2020-03-15,1527,False
COK,Oceania,17032.0,Cook Islands,33.2,HIGH-INCOME,8.14,Full democracy,2022-02-20,15,True
COL,South America,51874028.0,Colombia,32.2,UPPER-MIDDLE-INCOME,6.55,Flawed democracy,2020-01-05,358,True
COM,Africa,836783.0,Comoros,20.4,LOWER-MIDDLE INCOME,3.04,Authoritarian,2020-05-03,1478,False
CPV,Africa,593162.0,Cape Verde,25.7,LOWER-MIDDLE INCOME,7.65,Flawed democracy,2020-01-05,470,True
CRI,North America,5180836.0,Costa Rica,33.6,UPPER-MIDDLE-INCOME,8.29,Full democracy,2020-03-08,421,True
CUB,North America,11212198.0,Cuba,43.1,UPPER-MIDDLE-INCOME,2.65,Authoritarian,2020-03-15,477,True
CUW,North America,191173.0,Curacao,41.7,HIGH-INCOME,6.03,Flawed democracy,2020-03-15,253,True
CYM,North America,68722.0,Cayman Islands,37.6,HIGH-INCOME,9.61,Full democracy,2020-03-15,589,True
CYP,Europe,896007.0,Cyprus,37.3,HIGH-INCOME,7.38,Flawed democracy,2020-03-15,260,True
CZE,Europe,10493990.0,Czechia,43.3,HIGH-INCOME,7.97,Flawed democracy,2020-03-08,218,True
DEU,Europe,83369840.0,Germany,46.6,HIGH-INCOME,8.8,Full democracy,2020-01-05,344,True
DJI,Africa,1120851.0,Djibouti,25.4,LOWER-MIDDLE INCOME,2.7,Authoritarian,2020-01-05,1597,False
DMA,North America,72758.0,Dominica,31.9,UPPER-MIDDLE-INCOME,6.28,Flawed democracy,2020-03-29,505,True
DNK,Europe,5882259.0,Denmark,42.3,HIGH-INCOME,9.28,Full democracy,2020-03-01,281,True
DOM,North America,11228821.0,Dominican Republic,27.6,UPPER-MIDDLE-INCOME,6.44,Flawed democracy,2020-03-08,673,True
DZA,Africa,44903228.0,Algeria,29.1,LOWER-MIDDLE INCOME,3.66,Authoritarian,2020-01-05,1597,False
ECU,South America,18001002.0,Ecuador,28.1,UPPER-MIDDLE-INCOME,5.41,Hybrid regime,2020-03-08,680,True
EGY,Africa,110990096.0,Egypt,25.3,LOWER-MIDDLE INCOME,2.93,Authoritarian,2020-01-05,1597,False
ERI,Africa,3684041.0,Eritrea,19.3,LOW-INCOME,1.97,Authoritarian,2020-03-22,1520,False
ESP,Europe,47558632.0,Spain,45.5,HIGH-INCOME,8.07,Full democracy,2020-01-19,274,True
EST,Europe,1326064.0,Estonia,42.7,HIGH-INCOME,7.96,Flawed democracy,2020-03-01,29,True
ETH,Africa,123379928.0,Ethiopia,19.8,LOW-INCOME,3.37,Authoritarian,2020-03-15,1527,False
FIN,Europe,5540745.0,Finland,42.8,HIGH-INCOME,9.3,Full democracy,2020-02-02,666,True
FJI,Oceania,929769.0,Fiji,28.6,UPPER-MIDDLE-INCOME,5.55,Hybrid regime,2020-03-22,470,True
FLK,South America,3801.0,Falkland Islands,39.8,UPPER-MIDDLE-INCOME,9.61,Full democracy,2020-04-05,372,True
FRA,Europe,67813000.0,France,42.0,HIGH-INCOME,8.07,Full democracy,2020-01-05,281,True
FRO,Europe,53117.0,Faeroe Islands,37.8,HIGH-INCOME,6.41,Flawed democracy,2020-03-08,575,True
FSM,Oceania,114178.0,Micronesia (country),23.0,LOWER-MIDDLE INCOME,6.33,Flawed democracy,2022-04-24,99,True
GAB,Africa,2388997.0,Gabon,23.1,UPPER-MIDDLE-INCOME,2.18,Authoritarian,2020-03-15,1527,False
